GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Entando Core: Administration Console,org.entando.entando.apsadmin.portal.guifragment,GuiFragmentFinderAction,196,49,9,3,46,16,16,9,10,9
Entando Core: Administration Console,org.entando.entando.apsadmin.portal.guifragment,GuiFragmentSettingAction,11,0,0,0,3,0,3,0,3,0
Entando Core: Administration Console,org.entando.entando.apsadmin.portal.guifragment,GuiFragmentAction,414,131,42,4,121,47,43,19,20,19
Entando Core: Administration Console,com.agiletec.apsadmin.system.entity.type,EntityTypeNamespaceInfoBean,17,0,0,0,7,0,5,0,5,0
Entando Core: Administration Console,com.agiletec.apsadmin.system.entity.type,EntityTypeConfigAction,534,0,36,0,145,0,47,0,29,0
Entando Core: Administration Console,com.agiletec.apsadmin.system.entity.type,AbstractBaseEntityAttributeConfigAction,422,566,58,28,99,179,59,77,23,70
Entando Core: Administration Console,com.agiletec.apsadmin.system.entity.type,ListElementAttributeConfigAction,54,0,0,0,15,0,6,0,6,0
Entando Core: Administration Console,com.agiletec.apsadmin.system.entity.type,EntityTypesAction,156,91,10,4,46,26,12,9,7,7
Entando Core: Administration Console,com.agiletec.apsadmin.system.entity.type,AbstractEntityConfigAction,25,33,0,0,5,12,2,8,2,8
Entando Core: Administration Console,com.agiletec.apsadmin.system.entity.type,EntityAttributeConfigAction,479,132,73,13,123,39,53,8,11,7
Entando Core: Administration Console,com.agiletec.apsadmin.system.entity.type,CompositeAttributeConfigAction,349,0,26,0,88,0,28,0,15,0
Entando Core: Administration Console,com.agiletec.apsadmin.portal.specialwidget,SimpleWidgetConfigAction,66,356,11,19,20,77,16,27,5,23
Entando Core: Administration Console,org.entando.entando.apsadmin.user,UserAuthorizationAction,58,339,9,37,21,82,12,38,3,24
Entando Core: Administration Console,org.entando.entando.apsadmin.user,UserSettingsAction,7,0,0,0,2,0,2,0,2,0
Entando Core: Administration Console,org.entando.entando.apsadmin.user,UserProfileAction,202,203,20,16,56,56,21,18,6,15
Entando Core: Administration Console,org.entando.entando.apsadmin.user,UserAction,138,441,24,52,40,119,26,51,3,36
Entando Core: Administration Console,org.entando.entando.apsadmin.user,UserAuthsFormBean,17,64,5,7,4,18,5,9,1,7
Entando Core: Administration Console,org.entando.entando.apsadmin.user,UserProfileFinderAction,81,162,13,15,20,47,14,20,5,15
Entando Core: Administration Console,com.agiletec.apsadmin.user.group,GroupAction,54,262,8,28,19,78,8,36,1,25
Entando Core: Administration Console,com.agiletec.apsadmin.user.group,GroupFinderAction,0,24,0,0,0,8,0,4,0,4
Entando Core: Administration Console,com.agiletec.apsadmin.tags,UserShortcutsConfigTag,98,0,6,0,21,0,8,0,5,0
Entando Core: Administration Console,com.agiletec.apsadmin.tags,HookPointTag,120,0,10,0,28,0,12,0,7,0
Entando Core: Administration Console,com.agiletec.apsadmin.tags,ApsActionParamTag,38,0,0,0,13,0,7,0,7,0
Entando Core: Administration Console,com.agiletec.apsadmin.tags,TracerFactoryTag,72,0,4,0,17,0,9,0,7,0
Entando Core: Administration Console,com.agiletec.apsadmin.tags,WidgetTypeInfoTag,13,0,0,0,3,0,2,0,2,0
Entando Core: Administration Console,com.agiletec.apsadmin.tags,BackendGuiClientTag,55,0,4,0,15,0,7,0,5,0
Entando Core: Administration Console,com.agiletec.apsadmin.tags,TracerFactory,20,0,0,0,7,0,3,0,3,0
Entando Core: Administration Console,com.agiletec.apsadmin.tags,ParamMapTag,26,0,0,0,9,0,5,0,5,0
Entando Core: Administration Console,com.agiletec.apsadmin.tags,EntityTypeInfoTag,84,0,2,0,18,0,7,0,6,0
Entando Core: Administration Console,com.agiletec.apsadmin.tags,CounterTag,60,0,0,0,20,0,8,0,8,0
Entando Core: Administration Console,com.agiletec.apsadmin.tags,ShortcutInfoTag,13,0,0,0,3,0,2,0,2,0
Entando Core: Administration Console,com.agiletec.apsadmin.tags,EntityInfoTag,80,0,2,0,16,0,6,0,5,0
Entando Core: Administration Console,com.agiletec.apsadmin.tags,PluginsSubMenuTag,86,0,4,0,20,0,6,0,4,0
Entando Core: Administration Console,com.agiletec.apsadmin.tags,AdminPagerTag,182,0,2,0,53,0,20,0,19,0
Entando Core: Administration Console,com.agiletec.apsadmin.tags,AbstractObjectInfoTag,226,0,14,0,48,0,19,0,12,0
Entando Core: Administration Console,com.agiletec.apsadmin.tags,PageInfoTag,13,0,0,0,3,0,2,0,2,0
Entando Core: Administration Console,com.agiletec.apsadmin.tags,ApsActionParamSubTag,38,0,0,0,13,0,7,0,7,0
Entando Core: Administration Console,com.agiletec.apsadmin.tags.util,RadioMap,116,0,18,0,32,0,17,0,8,0
Entando Core: Administration Console,com.agiletec.apsadmin.tags.util,ComponentPagerVO,118,0,2,0,34,0,18,0,17,0
Entando Core: Administration Console,com.agiletec.apsadmin.tags.util,AutoIndexingTagHelper,48,0,8,0,11,0,6,0,2,0
Entando Core: Administration Console,com.agiletec.apsadmin.tags.util,Hidden,29,0,2,0,9,0,4,0,3,0
Entando Core: Administration Console,com.agiletec.apsadmin.tags.util,AdminPagerTagHelper,120,0,16,0,30,0,14,0,6,0
Entando Core: Administration Console,com.agiletec.apsadmin.tags.util,ParamMap,75,0,6,0,19,0,7,0,4,0
Entando Core: Administration Console,com.agiletec.apsadmin.tags.util,ApsActionParamComponent,124,0,8,0,32,0,14,0,10,0
Entando Core: Administration Console,com.agiletec.apsadmin.tags.util,Submit,126,0,24,0,27,0,15,0,3,0
Entando Core: Administration Console,org.entando.entando.apsadmin.dataobject.rs.model,DataObjectJO,75,0,2,0,26,0,14,0,13,0
Entando Core: Administration Console,org.entando.entando.apsadmin.dataobject.rs.model,DataObjectsStatusResponse,59,0,0,0,21,0,11,0,11,0
