GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Entando Component Manager,org.entando.kubernetes.model.bundle,BundleComponentTypesConverter,0,17,0,0,0,3,0,3,0,3
Entando Component Manager,org.entando.kubernetes.model.bundle,BundleProperty,0,48,0,0,0,8,0,3,0,3
Entando Component Manager,org.entando.kubernetes.model.bundle,EntandoBundle,0,19,1,3,0,2,1,3,0,2
Entando Component Manager,org.entando.kubernetes.model.bundle,ComponentType,0,224,0,0,0,24,0,6,0,6
Entando Component Manager,org.entando.kubernetes.model.bundle,EntandoBundleVersion,0,19,0,0,0,4,0,2,0,2
Entando Component Manager,org.entando.kubernetes.exception.http,HttpBadRequestException,2,0,0,0,1,0,1,0,1,0
Entando Component Manager,org.entando.kubernetes.exception.http,HttpNotFoundException,0,2,0,0,0,1,0,1,0,1
Entando Component Manager,org.entando.kubernetes.model.web.request,FilterOperator,6,95,1,3,1,14,1,5,0,4
Entando Component Manager,org.entando.kubernetes.model.web.request,FilterUtils,232,112,35,13,46,30,35,10,11,6
Entando Component Manager,org.entando.kubernetes.model.web.request,Filter,0,13,0,0,0,5,0,1,0,1
Entando Component Manager,org.entando.kubernetes.model.web.request,FilterType,90,0,4,0,14,0,6,0,4,0
Entando Component Manager,org.entando.kubernetes.model.web.request,RequestListProcessor,3,140,10,18,1,31,11,10,1,6
Entando Component Manager,org.entando.kubernetes.model.web.request,FilterUtils.EntandoFilterException,16,0,0,0,8,0,4,0,4,0
Entando Component Manager,org.entando.kubernetes.model.web.request,FilterType.new FilterType() {...},9,0,0,0,2,0,2,0,2,0
Entando Component Manager,org.entando.kubernetes.model.web.request,FilterType.new FilterType() {...},8,0,0,0,2,0,2,0,2,0
Entando Component Manager,org.entando.kubernetes.model.web.request,FilterType.new FilterType() {...},10,0,0,0,2,0,2,0,2,0
Entando Component Manager,org.entando.kubernetes.model.web.request,FilterType.new FilterType() {...},11,0,0,0,2,0,2,0,2,0
Entando Component Manager,org.entando.kubernetes.model.web.request,PagedListRequest,28,96,6,10,8,19,7,6,1,4
Entando Component Manager,org.entando.kubernetes.security.oauth2,OAuthIdpTokenResponseDTO,87,0,0,0,38,0,25,0,25,0
Entando Component Manager,org.entando.kubernetes.security.oauth2,AuthorizationHeaderUtil,318,13,18,0,73,5,15,1,6,1
Entando Component Manager,org.entando.kubernetes.security.oauth2,JwtAuthorityExtractor,48,3,2,0,10,1,5,1,4,1
Entando Component Manager,org.entando.kubernetes.security.oauth2,AudienceValidator,42,0,4,0,8,0,4,0,2,0
Entando Component Manager,org.entando.kubernetes.controller.digitalexchange.job.model,InstallRequest.InstallAction,0,34,0,0,0,4,0,1,0,1
Entando Component Manager,org.entando.kubernetes.controller.digitalexchange.job.model,AnalysisReport.Status,0,34,0,0,0,4,0,1,0,1
Entando Component Manager,org.entando.kubernetes.controller.digitalexchange.job.model,AnalysisReport,2,146,1,19,1,37,1,19,0,3
Entando Component Manager,org.entando.kubernetes.controller.digitalexchange.job.model,InstallActionsByComponentType,0,51,0,15,0,16,0,15,0,1
Entando Component Manager,org.entando.kubernetes.exception.digitalexchange,ReportAnalysisException,4,5,0,0,2,2,1,1,1,1
Entando Component Manager,org.entando.kubernetes.exception.digitalexchange,BundleNotInstalledException,0,4,0,0,0,2,0,1,0,1
Entando Component Manager,org.entando.kubernetes.exception.digitalexchange,BundleOperationConcurrencyException,0,4,0,0,0,2,0,1,0,1
Entando Component Manager,org.entando.kubernetes.exception.digitalexchange,InvalidBundleException,21,4,0,0,9,2,5,1,5,1
Entando Component Manager,org.entando.kubernetes.exception.digitalexchange,DigitalExchangeNotFoundException,5,0,0,0,2,0,2,0,2,0
Entando Component Manager,org.entando.kubernetes.service.digitalexchange.entandocore,EntandoDefaultOAuth2RequestAuthenticator,5,22,1,1,1,5,1,2,0,2
Entando Component Manager,org.entando.kubernetes.model.bundle.descriptor.plugin,PluginDescriptor,0,34,0,4,0,8,0,6,0,4
Entando Component Manager,org.entando.kubernetes.model.job,EntandoBundleComponentJob,0,27,0,0,0,10,0,1,0,1
Entando Component Manager,org.entando.kubernetes.model.job,JobOperation,3,0,0,0,1,0,1,0,1,0
Entando Component Manager,org.entando.kubernetes.model.job,JobResult,0,18,0,2,0,5,0,5,0,4
Entando Component Manager,org.entando.kubernetes.model.job,EntandoBundleJobEntity,46,4,0,0,12,2,1,1,1,1
Entando Component Manager,org.entando.kubernetes.model.job,EntandoBundleJob,0,44,0,0,0,14,0,2,0,2
Entando Component Manager,org.entando.kubernetes.model.job,JobType,0,160,0,0,0,12,0,4,0,4
Entando Component Manager,org.entando.kubernetes.model.job,EntandoBundleComponentJobEntity,0,50,0,0,0,14,0,2,0,2
Entando Component Manager,org.entando.kubernetes.model.job,ImageConverter,0,19,0,4,0,3,0,5,0,3
Entando Component Manager,org.entando.kubernetes.model.job,JobProgress,4,45,0,0,2,10,1,4,1,4
Entando Component Manager,org.entando.kubernetes.model.job,JobTracker,0,112,0,8,0,29,0,12,0,8
Entando Component Manager,org.entando.kubernetes.model.job,JobStatus,0,152,0,0,0,22,0,4,0,4
Entando Component Manager,org.entando.kubernetes.model.job,HashMapConverter,24,19,2,2,8,8,2,4,0,4
Entando Component Manager,org.entando.kubernetes.model.job,JobScheduler,52,82,2,6,20,27,6,9,5,6
Entando Component Manager,org.entando.kubernetes.model.bundle.reportable,EntandoEngineReportableProcessor,0,2,0,0,0,1,0,1,0,1
Entando Component Manager,org.entando.kubernetes.model.bundle.reportable,ReportableRemoteHandler,0,34,0,0,0,4,0,1,0,1
Entando Component Manager,org.entando.kubernetes.model.bundle.reportable,ReportableComponentProcessor,26,70,0,4,5,13,0,5,0,3
Entando Component Manager,org.entando.kubernetes.model.bundle.reportable,EntandoCMSReportableProcessor,0,2,0,0,0,1,0,1,0,1
Entando Component Manager,org.entando.kubernetes.model.bundle.reportable,EntandoK8SServiceReportableProcessor,0,2,0,0,0,1,0,1,0,1
Entando Component Manager,org.entando.kubernetes.client.request,AnalysisReportClientRequestFactory,119,238,3,1,33,39,18,5,16,5
Entando Component Manager,org.entando.kubernetes.service.digitalexchange,BundleUtilities,25,356,4,16,3,93,3,31,0,24
Entando Component Manager,org.entando.kubernetes.client.core,DefaultEntandoCoreClient,904,834,8,12,119,122,36,35,28,33
Entando Component Manager,org.entando.kubernetes.client.core,DefaultEntandoCoreClient.new ParameterizedTypeReference() {...},0,6,0,0,0,1,0,1,0,1
Entando Component Manager,org.entando.kubernetes.client.core,DefaultEntandoCoreClient.new ParameterizedTypeReference() {...},0,6,0,0,0,1,0,1,0,1
Entando Component Manager,org.entando.kubernetes.exception.web,ConflictException,11,0,0,0,4,0,2,0,2,0
Entando Component Manager,org.entando.kubernetes.exception.web,UnprocessableEntityException,11,0,0,0,4,0,2,0,2,0
Entando Component Manager,org.entando.kubernetes.exception.web,HttpException,21,10,0,0,8,4,2,1,2,1
Entando Component Manager,org.entando.kubernetes.exception.web,ValidationErrorResponse,48,0,2,0,13,0,5,0,4,0
Entando Component Manager,org.entando.kubernetes.exception.web,NotFoundException,11,0,0,0,4,0,2,0,2,0
Entando Component Manager,org.entando.kubernetes.exception.web,BadRequestException,20,0,0,0,8,0,4,0,4,0
Entando Component Manager,org.entando.kubernetes.exception.web,InternalServerException,11,0,0,0,4,0,2,0,2,0
Entando Component Manager,org.entando.kubernetes.model.bundle.processor,PageTemplateProcessor,8,118,1,5,2,25,1,12,0,10
Entando Component Manager,org.entando.kubernetes.model.bundle.processor,FileProcessor,19,210,3,7,6,42,5,11,2,9
Entando Component Manager,org.entando.kubernetes.model.bundle.processor,ContentProcessor,19,93,1,3,3,20,2,10,1,9
Entando Component Manager,org.entando.kubernetes.model.bundle.processor,CategoryProcessor,19,105,1,5,3,24,2,12,1,10
Entando Component Manager,org.entando.kubernetes.model.bundle.processor,PageConfigurationProcessor,8,105,1,3,2,22,1,11,0,10
Entando Component Manager,org.entando.kubernetes.model.bundle.processor,PluginProcessor,16,195,2,10,4,41,2,16,0,12
Entando Component Manager,org.entando.kubernetes.model.bundle.processor,AssetProcessor,19,105,1,3,3,21,2,10,1,9
Entando Component Manager,org.entando.kubernetes.model.bundle.processor,DirectoryProcessor,19,169,3,5,6,33,5,10,2,9
Entando Component Manager,org.entando.kubernetes.model.bundle.processor,PageProcessor,8,104,1,3,2,20,1,11,0,10
Entando Component Manager,org.entando.kubernetes.model.bundle.processor,ContentTypeProcessor,8,104,1,3,2,22,1,11,0,10
Entando Component Manager,org.entando.kubernetes.model.bundle.processor,FragmentProcessor,19,107,1,5,3,23,2,11,1,9
Entando Component Manager,org.entando.kubernetes.model.bundle.processor,WidgetProcessor,19,114,1,5,3,25,2,11,1,9
Entando Component Manager,org.entando.kubernetes.model.bundle.processor,BaseComponentProcessor,5,39,1,7,1,9,1,6,0,3
Entando Component Manager,org.entando.kubernetes.model.bundle.processor,GroupProcessor,19,105,1,5,3,23,2,12,1,10
