GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Entando Core: Engine,com.agiletec.aps.system.common.model.dao,SearcherDaoPaginatedResult,41,0,2,0,16,0,8,0,7,0
Entando Core: Engine,org.entando.entando.aps.system.services.widgettype,WidgetTypeParameter,34,0,0,0,13,0,7,0,7,0
Entando Core: Engine,org.entando.entando.aps.system.services.widgettype,WidgetTypeManager,566,0,62,0,144,0,51,0,20,0
Entando Core: Engine,org.entando.entando.aps.system.services.widgettype,WidgetTypeDOM,308,0,28,0,80,0,28,0,14,0
Entando Core: Engine,org.entando.entando.aps.system.services.widgettype,WidgetTypeListProcessor,110,0,11,0,17,0,24,0,15,0
Entando Core: Engine,org.entando.entando.aps.system.services.widgettype,WidgetService,956,0,72,0,213,0,72,0,36,0
Entando Core: Engine,org.entando.entando.aps.system.services.widgettype,WidgetType,809,0,162,0,195,0,120,0,39,0
Entando Core: Engine,org.entando.entando.aps.system.services.widgettype,WidgetTypeDAO,630,0,42,0,160,0,32,0,11,0
Entando Core: Engine,org.entando.entando.web.language,LanguageController,98,0,2,0,21,0,9,0,8,0
Entando Core: Engine,org.entando.entando.web.common.model,RestNamedId,125,0,22,0,21,0,18,0,7,0
Entando Core: Engine,org.entando.entando.web.common.model,SimpleRestResponse,18,0,0,0,6,0,3,0,3,0
Entando Core: Engine,org.entando.entando.web.common.model,RestError,26,0,0,0,11,0,6,0,6,0
Entando Core: Engine,org.entando.entando.web.common.model,RestResponse,69,0,2,0,25,0,12,0,11,0
Entando Core: Engine,org.entando.entando.web.common.model,PagedRestResponse,16,0,0,0,6,0,3,0,3,0
Entando Core: Engine,org.entando.entando.web.common.model,RestListRequest,555,0,98,0,117,0,79,0,30,0
Entando Core: Engine,org.entando.entando.web.common.model,Filter,425,0,58,0,99,0,53,0,24,0
Entando Core: Engine,org.entando.entando.web.common.model,PagedMetadata,713,0,70,0,137,0,76,0,41,0
Entando Core: Engine,org.entando.entando.web.common.model,RestEntityListRequest,120,0,22,0,21,0,17,0,6,0
Entando Core: Engine,org.entando.entando.web.common.model,FilterType.new FilterType() {...},9,0,0,0,2,0,2,0,2,0
Entando Core: Engine,org.entando.entando.web.common.model,FilterType.new FilterType() {...},11,0,0,0,2,0,2,0,2,0
Entando Core: Engine,org.entando.entando.web.common.model,FilterType.new FilterType() {...},12,0,0,0,2,0,2,0,2,0
Entando Core: Engine,org.entando.entando.web.common.model,FilterType.new FilterType() {...},17,0,0,0,3,0,2,0,2,0
Entando Core: Engine,org.entando.entando.web.common.model,ErrorRestResponse,24,0,0,0,6,0,3,0,3,0
Entando Core: Engine,org.entando.entando.web.common.model,DateRange,88,0,14,0,28,0,15,0,8,0
Entando Core: Engine,org.entando.entando.web.common.model,FilterOperator,105,0,4,0,14,0,6,0,4,0
Entando Core: Engine,org.entando.entando.web.common.model,FilterType,94,0,4,0,13,0,6,0,4,0
Entando Core: Engine,com.agiletec.aps.system.services.lang.cache,LangManagerCacheWrapper,169,0,10,0,39,0,17,0,12,0
Entando Core: Engine,org.entando.entando.aps.system.common.entity.model.attribute,EnumeratorMapAttribute,383,0,54,0,87,0,42,0,15,0
Entando Core: Engine,org.entando.entando.aps.system.common.entity.model.attribute,JAXBEnumeratorMapAttribute,10,0,0,0,4,0,3,0,3,0
Entando Core: Engine,org.entando.entando.aps.system.common.entity.model.attribute,JAXBEnumeratorMapValue,17,0,0,0,7,0,5,0,5,0
Entando Core: Engine,org.entando.entando.aps.system.common.entity.model.attribute,EmailAttribute,26,0,0,0,8,0,4,0,4,0
Entando Core: Engine,org.entando.entando.aps.system.services.pagesettings.model,PageSettingsDto,3,0,0,0,2,0,1,0,1,0
Entando Core: Engine,org.entando.entando.aps.system.services.pagesettings.model,PageSettingsDtoBuilder,82,0,0,0,8,0,5,0,5,0
Entando Core: Engine,org.entando.entando.aps.system.services.userprofile,UserProfileTypeService,109,0,0,0,23,0,19,0,19,0
Entando Core: Engine,org.entando.entando.aps.system.services.userprofile,UserProfileManagerAspect,127,0,18,0,44,0,17,0,8,0
Entando Core: Engine,org.entando.entando.aps.system.services.userprofile,UserProfileManager,210,0,8,0,66,0,23,0,19,0
