GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Entando Core: Engine,com.agiletec.aps.system.common.model.dao,SearcherDaoPaginatedResult,9,32,1,1,4,12,3,5,2,5
Entando Core: Engine,org.entando.entando.aps.system.services.widgettype,WidgetTypeParameter,0,34,0,0,0,13,0,7,0,7
Entando Core: Engine,org.entando.entando.aps.system.services.widgettype,WidgetTypeManager,136,430,16,46,32,112,14,37,0,20
Entando Core: Engine,org.entando.entando.aps.system.services.widgettype,WidgetTypeDOM,57,251,15,13,11,69,13,15,1,13
Entando Core: Engine,org.entando.entando.aps.system.services.widgettype,WidgetTypeListProcessor,26,84,4,7,4,13,7,17,3,12
Entando Core: Engine,org.entando.entando.aps.system.services.widgettype,WidgetService,172,784,18,54,39,173,17,55,1,35
Entando Core: Engine,org.entando.entando.aps.system.services.widgettype,WidgetType,197,612,79,83,50,145,66,54,2,37
Entando Core: Engine,org.entando.entando.aps.system.services.widgettype,WidgetTypeDAO,143,487,6,36,31,129,7,25,1,10
Entando Core: Engine,org.entando.entando.web.language,LanguageController,4,94,0,2,2,19,1,8,1,7
Entando Core: Engine,org.entando.entando.web.common.model,RestNamedId,0,125,1,21,0,21,1,17,0,7
Entando Core: Engine,org.entando.entando.web.common.model,SimpleRestResponse,11,7,0,0,4,2,2,1,2,1
Entando Core: Engine,org.entando.entando.web.common.model,RestError,3,23,0,0,1,10,1,5,1,5
Entando Core: Engine,org.entando.entando.web.common.model,RestResponse,31,38,1,1,12,13,6,6,5,6
Entando Core: Engine,org.entando.entando.web.common.model,PagedRestResponse,10,6,0,0,4,2,2,1,2,1
Entando Core: Engine,org.entando.entando.web.common.model,RestListRequest,145,410,40,58,28,89,34,45,2,28
Entando Core: Engine,org.entando.entando.web.common.model,Filter,229,212,40,20,42,58,35,19,5,19
Entando Core: Engine,org.entando.entando.web.common.model,PagedMetadata,173,540,25,45,29,108,28,48,4,37
Entando Core: Engine,org.entando.entando.web.common.model,RestEntityListRequest,120,0,22,0,21,0,17,0,6,0
