GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Entando Kubernetes Custom Model,org.entando.kubernetes.model.compositeapp,EntandoCompositeAppSpecFluent.EntandoKeycloakServerNested,0,22,0,0,0,5,0,3,0,3
Entando Kubernetes Custom Model,org.entando.kubernetes.model.compositeapp,EntandoCustomResourceReferenceFluent,0,53,0,0,0,12,0,7,0,7
Entando Kubernetes Custom Model,org.entando.kubernetes.model.compositeapp,EntandoCustomResourceReferenceSpecBuilder,0,7,0,0,0,4,0,2,0,2
Entando Kubernetes Custom Model,org.entando.kubernetes.model.compositeapp,EntandoCompositeAppOperationFactory,0,12,0,0,0,2,0,2,0,2
Entando Kubernetes Custom Model,org.entando.kubernetes.model.compositeapp,EntandoCompositeAppSpecFluent.EntandoDatabaseServiceNested,0,22,0,0,0,6,0,3,0,3
Entando Kubernetes Custom Model,org.entando.kubernetes.model.compositeapp,EntandoCompositeAppSpecFluent.EntandoPluginNested,0,22,0,0,0,6,0,3,0,3
Entando Kubernetes Custom Model,org.entando.kubernetes.model.compositeapp,EntandoCompositeAppSpecFluent,6,258,0,0,2,51,0,24,0,24
Entando Kubernetes Custom Model,org.entando.kubernetes.model.compositeapp,EntandoCompositeAppFluent,0,53,0,0,0,12,0,7,0,7
Entando Kubernetes Custom Model,org.entando.kubernetes.model.compositeapp,EntandoCustomResourceReferenceSpec,0,22,0,0,0,8,0,4,0,4
Entando Kubernetes Custom Model,org.entando.kubernetes.model.compositeapp,EntandoCompositeApp,0,25,0,0,0,9,0,5,0,5
Entando Kubernetes Custom Model,org.entando.kubernetes.model.compositeapp,EntandoCompositeAppSpec,2,15,1,1,0,6,1,3,0,3
Entando Kubernetes Custom Model,org.entando.kubernetes.model.compositeapp,EntandoCustomResourceReferenceSpecFluent,0,51,0,0,0,15,0,7,0,7
Entando Kubernetes Custom Model,org.entando.kubernetes.model.compositeapp,EntandoCompositeAppSpecFluent.EntandoAppNested,0,22,0,0,0,6,0,3,0,3
Entando Kubernetes Custom Model,org.entando.kubernetes.model.compositeapp,DoneableEntandoCompositeApp,0,60,0,0,0,13,0,5,0,5
Entando Kubernetes Custom Model,org.entando.kubernetes.model.compositeapp,EntandoCompositeAppBuilder,0,13,0,0,0,2,0,2,0,2
Entando Kubernetes Custom Model,org.entando.kubernetes.model.compositeapp,EntandoCustomResourceReferenceBuilder,0,26,0,0,0,7,0,4,0,4
Entando Kubernetes Custom Model,org.entando.kubernetes.model.compositeapp,EntandoCompositeAppList,0,3,0,0,0,1,0,1,0,1
Entando Kubernetes Custom Model,org.entando.kubernetes.model.compositeapp,EntandoCompositeAppSpecFluent.EntandoAppPluginLinkNested,0,22,0,0,0,6,0,3,0,3
Entando Kubernetes Custom Model,org.entando.kubernetes.model.compositeapp,EntandoCustomResourceReference,2,19,0,0,1,6,1,3,1,3
Entando Kubernetes Custom Model,org.entando.kubernetes.model.compositeapp,EntandoCompositeAppSpecFluent.EntandoCustomResourceReferenceNested,0,22,0,0,0,6,0,3,0,3
Entando Kubernetes Custom Model,org.entando.kubernetes.model.compositeapp,EntandoCustomResourceReferenceFluent.NestedEntandoCustomResourceReferenceSpecFluent,0,22,0,0,0,8,0,4,0,4
Entando Kubernetes Custom Model,org.entando.kubernetes.model.compositeapp,EntandoCompositeAppFluent.NestedEntandoCompositeAppFluent,0,22,0,0,0,8,0,4,0,4
Entando Kubernetes Custom Model,org.entando.kubernetes.model.compositeapp,EntandoCompositeAppSpecFluent.EntandoClusterInfrastructureNested,0,22,0,0,0,6,0,3,0,3
Entando Kubernetes Custom Model,org.entando.kubernetes.model.compositeapp,EntandoCompositeAppSpecBuilder,0,7,0,0,0,4,0,2,0,2
Entando Kubernetes Custom Model,org.entando.kubernetes.model.keycloakserver,EntandoKeycloakServerFluent,0,48,0,0,0,11,0,6,0,6
Entando Kubernetes Custom Model,org.entando.kubernetes.model.keycloakserver,EntandoKeycloakServerBuilder,0,21,0,0,0,5,0,3,0,3
Entando Kubernetes Custom Model,org.entando.kubernetes.model.keycloakserver,EntandoKeycloakServerFluent.NestedEntandoKeycloakServerFluent,0,22,0,0,0,8,0,4,0,4
Entando Kubernetes Custom Model,org.entando.kubernetes.model.keycloakserver,EntandoKeycloakServer,0,25,0,0,0,9,0,5,0,5
Entando Kubernetes Custom Model,org.entando.kubernetes.model.keycloakserver,EntandoKeycloakServerSpecFluent,0,51,0,0,0,11,0,5,0,5
Entando Kubernetes Custom Model,org.entando.kubernetes.model.keycloakserver,EntandoKeycloakServerSpecBuilder,0,7,0,0,0,4,0,2,0,2
Entando Kubernetes Custom Model,org.entando.kubernetes.model.keycloakserver,EntandoKeycloakServerSpec,3,25,0,0,2,6,1,3,1,3
Entando Kubernetes Custom Model,org.entando.kubernetes.model.keycloakserver,EntandoKeycloakServerList,0,3,0,0,0,1,0,1,0,1
Entando Kubernetes Custom Model,org.entando.kubernetes.model.keycloakserver,DoneableEntandoKeycloakServer,0,62,0,0,0,14,0,5,0,5
Entando Kubernetes Custom Model,org.entando.kubernetes.model.keycloakserver,EntandoKeycloakServerOperationFactory,0,12,0,0,0,2,0,2,0,2
Entando Kubernetes Custom Model,org.entando.kubernetes.model.externaldatabase,DoneableEntandoDatabaseService,0,63,0,0,0,14,0,6,0,6
Entando Kubernetes Custom Model,org.entando.kubernetes.model.externaldatabase,EntandoDatabaseServiceFluent.SpecNestedImpl,0,22,0,0,0,8,0,4,0,4
Entando Kubernetes Custom Model,org.entando.kubernetes.model.externaldatabase,EntandoDatabaseServiceFluent,0,48,0,0,0,11,0,6,0,6
Entando Kubernetes Custom Model,org.entando.kubernetes.model.externaldatabase,EntandoDatabaseServiceBuilder,0,21,0,0,0,5,0,3,0,3
Entando Kubernetes Custom Model,org.entando.kubernetes.model.externaldatabase,EntandoDatabaseServiceSpecFluent,0,174,1,1,0,33,1,12,0,12
Entando Kubernetes Custom Model,org.entando.kubernetes.model.externaldatabase,EntandoDatabaseService,0,25,0,0,0,9,0,5,0,5
Entando Kubernetes Custom Model,org.entando.kubernetes.model.externaldatabase,EntandoDatabaseServiceSpec,3,66,0,2,2,18,1,10,1,9
Entando Kubernetes Custom Model,org.entando.kubernetes.model.externaldatabase,EntandoDatabaseServiceOperationFactory,0,12,0,0,0,2,0,2,0,2
Entando Kubernetes Custom Model,org.entando.kubernetes.model.externaldatabase,EntandoDatabaseServiceSpecBuilder,0,7,0,0,0,4,0,2,0,2
Entando Kubernetes Custom Model,org.entando.kubernetes.model.externaldatabase,EntandoDatabaseServiceList,0,3,0,0,0,1,0,1,0,1
Entando Kubernetes Custom Model,org.entando.kubernetes.model.gitspec,GitSpecFluent,0,66,0,0,0,18,0,8,0,8
Entando Kubernetes Custom Model,org.entando.kubernetes.model.gitspec,GitSpec,3,29,0,0,2,10,1,5,1,5
Entando Kubernetes Custom Model,org.entando.kubernetes.model.gitspec,GitSpecBuilder,0,7,0,0,0,4,0,2,0,2
Entando Kubernetes Custom Model,org.entando.kubernetes.model.gitspec,GitResponsibility,2,37,1,1,1,6,1,3,0,3
Entando Kubernetes Custom Model,org.entando.kubernetes.model.app,EntandoAppSpecBuilder,0,7,0,0,0,4,0,2,0,2
Entando Kubernetes Custom Model,org.entando.kubernetes.model.app,EntandoAppOperationFactory,0,12,0,0,0,2,0,2,0,2
Entando Kubernetes Custom Model,org.entando.kubernetes.model.app,EntandoApp,0,25,0,0,0,9,0,5,0,5
Entando Kubernetes Custom Model,org.entando.kubernetes.model.app,DoneableEntandoApp,0,60,0,0,0,13,0,5,0,5
Entando Kubernetes Custom Model,org.entando.kubernetes.model.app,EntandoAppFluent,0,53,0,0,0,12,0,7,0,7
Entando Kubernetes Custom Model,org.entando.kubernetes.model.app,EntandoAppList,0,3,0,0,0,1,0,1,0,1
