GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Entando K8S Operator Common Library,org.entando.kubernetes.controller.k8sclient,EntandoResourceClient,14,160,0,10,2,37,2,8,2,3
Entando K8S Operator Common Library,org.entando.kubernetes.controller.k8sclient,PodWaitingClient,51,43,3,3,10,10,2,2,0,1
Entando K8S Operator Common Library,org.entando.kubernetes.controller.k8sclient,PodClient,21,94,1,5,4,21,1,3,0,1
Entando K8S Operator Common Library,org.entando.kubernetes.controller.k8sclient,UnauthorizedExcepion,5,0,0,0,2,0,1,0,1,0
Entando K8S Operator Common Library,org.entando.kubernetes.controller.k8sclient,DuplicateExcepion,5,0,0,0,2,0,1,0,1,0
Entando K8S Operator Common Library,org.entando.kubernetes.client,DefaultDeploymentClient,52,68,3,1,8,13,4,4,2,4
Entando K8S Operator Common Library,org.entando.kubernetes.client,DefaultSimpleK8SClient,0,110,0,16,0,27,0,17,0,9
Entando K8S Operator Common Library,org.entando.kubernetes.client,KubernetesClientProducer,29,0,0,0,4,0,2,0,2,0
Entando K8S Operator Common Library,org.entando.kubernetes.client,DefaultSecretClient,75,122,0,0,14,22,2,7,2,7
Entando K8S Operator Common Library,org.entando.kubernetes.client,DefaultPodClient,24,169,0,6,4,25,2,14,2,11
Entando K8S Operator Common Library,org.entando.kubernetes.client,PodWatcher,5,84,2,6,2,23,2,10,0,8
Entando K8S Operator Common Library,org.entando.kubernetes.client,DefaultServiceAccountClient,32,121,0,4,9,19,1,10,1,8
Entando K8S Operator Common Library,org.entando.kubernetes.client,PatchableClient,20,30,1,1,4,4,2,1,1,1
Entando K8S Operator Common Library,org.entando.kubernetes.client,DefaultPersistentVolumeClaimClient,0,57,0,2,0,11,0,4,0,3
Entando K8S Operator Common Library,org.entando.kubernetes.client,DefaultKeycloakClient,105,620,20,18,22,155,18,28,4,23
Entando K8S Operator Common Library,org.entando.kubernetes.client,DefaultEntandoResourceClient,184,378,5,9,29,71,11,23,7,20
Entando K8S Operator Common Library,org.entando.kubernetes.client,DefaultServiceClient,51,45,2,0,6,7,2,3,1,3
Entando K8S Operator Common Library,org.entando.kubernetes.client,KubernetesExceptionProcessor,133,12,8,2,14,3,8,1,3,1
Entando K8S Operator Common Library,org.entando.kubernetes.client,DefaultIngressClient,48,124,1,1,6,24,4,7,3,7
Entando K8S Operator Common Library,org.entando.kubernetes.client,KubernetesRestInterceptor,203,0,14,0,34,0,14,0,7,0
Entando K8S Operator Common Library,org.entando.kubernetes.client,EntandoExecListener,27,50,1,1,10,15,3,4,2,4
Entando K8S Operator Common Library,org.entando.kubernetes.controller.creators,IngressCreator,10,419,4,24,3,73,4,26,0,16
Entando K8S Operator Common Library,org.entando.kubernetes.controller.creators,PersistentVolumeClaimCreator,0,144,0,4,0,30,0,10,0,8
Entando K8S Operator Common Library,org.entando.kubernetes.controller.creators,ServiceCreator,125,124,1,1,25,27,5,7,4,7
Entando K8S Operator Common Library,org.entando.kubernetes.controller.creators,KeycloakClientCreator,24,207,3,11,2,47,3,10,0,6
Entando K8S Operator Common Library,org.entando.kubernetes.controller.creators,ServiceAccountCreator,5,232,1,3,0,59,2,11,1,10
Entando K8S Operator Common Library,org.entando.kubernetes.controller.creators,SecretCreator,12,235,2,14,2,47,2,17,0,11
Entando K8S Operator Common Library,org.entando.kubernetes.controller.creators,AbstractK8SResourceCreator,0,135,1,3,0,28,1,8,0,7
Entando K8S Operator Common Library,org.entando.kubernetes.controller.creators,DeploymentCreator,2,769,5,39,1,163,5,43,0,26
Entando K8S Operator Common Library,org.entando.kubernetes.controller.creators,DatabasePreparationPodCreator,83,483,0,8,12,80,5,18,5,14
Entando K8S Operator Common Library,org.entando.kubernetes.controller.creators,IngressPathCreator,0,121,0,2,0,22,0,9,0,8
Entando K8S Operator Common Library,org.entando.kubernetes.controller.database,DbmsVendorConfig.new DbmsVendorConfig() {...},5,9,0,0,1,1,1,1,1,1
Entando K8S Operator Common Library,org.entando.kubernetes.controller.database,DbmsVendorConfig.new DbmsVendorConfig() {...},5,9,0,0,1,1,1,1,1,1
Entando K8S Operator Common Library,org.entando.kubernetes.controller.database,DbmsVendorConfig.new DbmsVendorConfig() {...},5,11,0,0,1,1,1,1,1,1
Entando K8S Operator Common Library,org.entando.kubernetes.controller.database,DbmsVendorConfig.2.new JdbcConnectionStringBuilder() {...},0,26,0,0,0,2,0,2,0,2
Entando K8S Operator Common Library,org.entando.kubernetes.controller.database,JdbcConnectionStringBuilder,33,60,2,2,2,19,3,12,1,12
Entando K8S Operator Common Library,org.entando.kubernetes.controller.database,DbmsVendorConfig.new DbmsVendorConfig() {...},0,16,0,0,0,2,0,2,0,2
Entando K8S Operator Common Library,org.entando.kubernetes.controller.database,DbmsVendorConfig,3,124,0,0,1,23,1,8,1,8
Entando K8S Operator Common Library,org.entando.kubernetes.controller.database,DbmsVendorConfig.new DbmsVendorConfig() {...},0,16,0,0,0,2,0,2,0,2
Entando K8S Operator Common Library,org.entando.kubernetes.controller.database,ExternalDatabaseDeployment,0,103,0,0,0,13,0,11,0,11
Entando K8S Operator Common Library,org.entando.kubernetes.controller.database,DbmsDockerVendorStrategy,0,114,0,0,0,23,0,15,0,15
Entando K8S Operator Common Library,org.entando.kubernetes.controller.database,DbmsVendorConfig.3.new JdbcConnectionStringBuilder() {...},26,0,0,0,2,0,2,0,2,0
Entando K8S Operator Common Library,org.entando.kubernetes.controller.database,DatabaseDeployable,13,159,1,2,2,29,1,13,0,12
Entando K8S Operator Common Library,org.entando.kubernetes.controller.database,DatabaseSchemaCreationResult,0,66,0,2,0,17,0,9,0,8
Entando K8S Operator Common Library,org.entando.kubernetes.controller.database,DbmsVendorConfig.4.new JdbcConnectionStringBuilder() {...},21,0,0,0,2,0,2,0,2,0
Entando K8S Operator Common Library,org.entando.kubernetes.controller.database,DatabaseDeploymentResult,6,50,0,0,2,14,2,9,2,9
Entando K8S Operator Common Library,org.entando.kubernetes.controller.database,DbmsVendorConfig.5.new JdbcConnectionStringBuilder() {...},21,0,0,0,2,0,2,0,2,0
Entando K8S Operator Common Library,org.entando.kubernetes.controller.database,EntandoDatabaseServiceController,5,19,0,0,2,6,1,3,1,3
Entando K8S Operator Common Library,org.entando.kubernetes.controller.database,DbmsVendorConfig.1.new JdbcConnectionStringBuilder() {...},0,26,0,0,0,2,0,2,0,2
Entando K8S Operator Common Library,org.entando.kubernetes.controller.database,DbmsDockerVendorStrategy.new DbmsDockerVendorStrategy() {...},0,12,0,0,0,2,0,2,0,2
Entando K8S Operator Common Library,org.entando.kubernetes.controller.database,DatabaseContainer,0,46,0,0,0,13,0,7,0,7
Entando K8S Operator Common Library,org.entando.kubernetes.controller,EntandoControllerException,4,0,0,0,2,0,1,0,1,0
Entando K8S Operator Common Library,org.entando.kubernetes.controller,ExposedService,8,283,5,21,1,35,5,29,1,20
Entando K8S Operator Common Library,org.entando.kubernetes.controller,SecurityMode,0,29,0,0,0,3,0,2,0,2
Entando K8S Operator Common Library,org.entando.kubernetes.controller,PodResult.State,0,44,0,0,0,2,0,1,0,1
Entando K8S Operator Common Library,org.entando.kubernetes.controller,DeployCommand,10,349,3,13,2,67,3,19,0,14
Entando K8S Operator Common Library,org.entando.kubernetes.controller,PropertyResolution,6,106,2,4,2,26,2,11,0,10
Entando K8S Operator Common Library,org.entando.kubernetes.controller,PodResult,23,243,7,29,4,39,7,29,0,18
Entando K8S Operator Common Library,org.entando.kubernetes.controller,EntandoOperatorConfigProperty,0,389,0,0,0,39,0,3,0,3
Entando K8S Operator Common Library,org.entando.kubernetes.controller,FluentTernary,0,31,0,2,0,8,0,6,0,5
Entando K8S Operator Common Library,org.entando.kubernetes.controller,KeycloakClientConfig,0,104,0,0,0,26,0,13,0,13
Entando K8S Operator Common Library,org.entando.kubernetes.controller,SecretBasedCredentials,0,50,0,2,0,6,0,6,0,5
Entando K8S Operator Common Library,org.entando.kubernetes.controller,EntandoImageResolver,0,113,0,6,0,27,0,10,0,7
Entando K8S Operator Common Library,org.entando.kubernetes.controller,IngressingDeployCommand,29,65,2,2,5,13,2,4,0,4
Entando K8S Operator Common Library,org.entando.kubernetes.controller,EntandoRbacRole,0,37,0,0,0,6,0,3,0,3
Entando K8S Operator Common Library,org.entando.kubernetes.controller,KeycloakConnectionConfig,3,12,1,1,1,3,1,2,0,2
Entando K8S Operator Common Library,org.entando.kubernetes.controller,KubeUtils,24,158,1,5,5,28,2,13,1,11
Entando K8S Operator Common Library,org.entando.kubernetes.controller,EntandoOperatorConfigBase,3,92,1,9,2,18,2,10,1,6
Entando K8S Operator Common Library,org.entando.kubernetes.controller,EntandoOperatorConfig,25,214,3,1,5,36,4,27,2,27
Entando K8S Operator Common Library,org.entando.kubernetes.controller,AbstractServiceResult,0,38,0,0,0,6,0,4,0,4
Entando K8S Operator Common Library,org.entando.kubernetes.controller,ExposedDeploymentResult,3,19,0,0,1,7,1,4,1,4
Entando K8S Operator Common Library,org.entando.kubernetes.controller,AutoExit,7,10,1,1,3,5,2,2,1,2
Entando K8S Operator Common Library,org.entando.kubernetes.controller,AbstractDbAwareController,84,261,15,19,12,60,14,14,2,9
Entando K8S Operator Common Library,org.entando.kubernetes.controller.common,KeycloakName,4,102,2,2,2,17,2,11,0,11
Entando K8S Operator Common Library,org.entando.kubernetes.controller.common,CreateExternalServiceCommand,30,297,6,10,7,65,6,11,1,8
Entando K8S Operator Common Library,org.entando.kubernetes.controller.common,InfrastructureConfig,0,60,0,0,0,12,0,8,0,8
Entando K8S Operator Common Library,org.entando.kubernetes.controller.common,ResourceCalculator,0,38,0,0,0,7,0,5,0,5
Entando K8S Operator Common Library,org.entando.kubernetes.controller.common,ConfigurableResourceCalculator,0,45,0,0,0,7,0,5,0,5
Entando K8S Operator Common Library,org.entando.kubernetes.controller.common,TlsHelper,23,245,4,8,7,48,4,21,0,19
Entando K8S Operator Common Library,org.entando.kubernetes.controller.common,ConfigurableStorageCalculator,0,30,0,0,0,5,0,3,0,3
Entando K8S Operator Common Library,org.entando.kubernetes.controller.common,LimitAndRequestCalculator,6,86,1,3,2,18,1,6,0,5
Entando K8S Operator Common Library,org.entando.kubernetes.controller.common,KeycloakConnectionSecret,0,27,0,0,0,7,0,4,0,4
Entando K8S Operator Common Library,org.entando.kubernetes.controller.common,StorageCalculator,0,22,0,0,0,5,0,3,0,3
Entando K8S Operator Common Library,org.entando.kubernetes.controller.common,ControllerExecutor,108,457,6,6,18,89,9,19,3,19
Entando K8S Operator Common Library,org.entando.kubernetes.controller.spi,ParameterizableContainer,0,4,0,0,0,1,0,1,0,1
Entando K8S Operator Common Library,org.entando.kubernetes.controller.spi,DbAwareDeployable,1,26,1,1,0,3,1,2,0,2
Entando K8S Operator Common Library,org.entando.kubernetes.controller.spi,SecretToMount,0,15,0,0,0,6,0,3,0,3
Entando K8S Operator Common Library,org.entando.kubernetes.controller.spi,PortSpec,0,15,0,0,0,6,0,3,0,3
Entando K8S Operator Common Library,org.entando.kubernetes.controller.spi,Deployable,0,16,0,0,0,4,0,4,0,4
Entando K8S Operator Common Library,org.entando.kubernetes.controller.spi,IngressingContainer,0,3,0,0,0,1,0,1,0,1
Entando K8S Operator Common Library,org.entando.kubernetes.controller.spi,ConfigurableResourceContainer,0,4,0,0,0,1,0,1,0,1
Entando K8S Operator Common Library,org.entando.kubernetes.controller.spi,KeycloakAware,0,81,0,0,0,15,0,3,0,3
Entando K8S Operator Common Library,org.entando.kubernetes.controller.spi,SpringBootDeployableContainer,0,122,1,1,0,21,1,4,0,4
Entando K8S Operator Common Library,org.entando.kubernetes.controller.spi,TlsAware,0,12,0,0,0,3,0,1,0,1
Entando K8S Operator Common Library,org.entando.kubernetes.controller.spi,KubernetesPermission,0,22,0,0,0,8,0,4,0,4
Entando K8S Operator Common Library,org.entando.kubernetes.controller.spi,IngressingDeployable,0,28,0,0,0,6,0,3,0,3
Entando K8S Operator Common Library,org.entando.kubernetes.controller.spi,DeployableContainer,0,33,0,0,0,8,0,8,0,8
Entando K8S Operator Common Library,org.entando.kubernetes.controller.spi,SpringBootDeployableContainer.SpringProperty,0,74,0,0,0,8,0,1,0,1
Entando K8S Operator Common Library,org.entando.kubernetes.controller.spi,PersistentVolumeAware,0,2,0,0,0,1,0,1,0,1
