GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Entando Kubernetes Service,org.entando.kubernetes.model.namespace,ObservedNamespaces,17,78,2,6,4,17,4,8,2,6
Entando Kubernetes Service,org.entando.kubernetes,EntandoKubernetesJavaApplication,5,3,0,0,2,1,1,1,1,1
Entando Kubernetes Service,org.entando.kubernetes.service.assembler,EntandoDeBundleResourceAssembler,0,80,0,0,0,11,0,3,0,3
Entando Kubernetes Service,org.entando.kubernetes.service.assembler,KubernetesNamespaceResourceAssembler,0,79,0,0,0,9,0,2,0,2
Entando Kubernetes Service,org.entando.kubernetes.service.assembler,EntandoPluginResourceAssembler,0,93,0,0,0,12,0,3,0,3
Entando Kubernetes Service,org.entando.kubernetes.service.assembler,EntandoAppResourceAssembler,0,106,0,0,0,13,0,3,0,3
Entando Kubernetes Service,org.entando.kubernetes.service.assembler,EntandoAppPluginLinkResourceAssembler,0,102,0,0,0,13,0,3,0,3
Entando Kubernetes Service,org.entando.kubernetes.security.oauth2,JwtAuthorityExtractor,48,3,2,0,8,2,5,1,4,1
Entando Kubernetes Service,org.entando.kubernetes.security.oauth2,AuthorizationHeaderUtil,322,13,18,0,73,5,15,1,6,1
Entando Kubernetes Service,org.entando.kubernetes.security.oauth2,AudienceValidator,42,0,4,0,8,0,4,0,2,0
Entando Kubernetes Service,org.entando.kubernetes.security.oauth2,OAuthIdpTokenResponseDTO,87,0,0,0,38,0,25,0,25,0
Entando Kubernetes Service,org.entando.kubernetes.service,EntandoAppService,0,22,0,0,0,5,0,4,0,4
Entando Kubernetes Service,org.entando.kubernetes.service,EntandoLinkService,77,220,4,0,14,36,10,10,8,10
Entando Kubernetes Service,org.entando.kubernetes.service,KubernetesUtils,0,24,0,2,0,8,0,4,0,3
Entando Kubernetes Service,org.entando.kubernetes.service,EntandoKubernetesResourceCollector,2,90,0,0,0,18,1,12,1,12
Entando Kubernetes Service,org.entando.kubernetes.service,IngressService,0,62,0,0,0,16,0,5,0,5
Entando Kubernetes Service,org.entando.kubernetes.service,EntandoPluginService,7,210,1,7,1,42,1,13,0,10
Entando Kubernetes Service,org.entando.kubernetes.service,EntandoDeBundleService,0,63,0,0,0,11,0,8,0,8
Entando Kubernetes Service,org.entando.kubernetes.model.namespace.provider,StaticNamespaceProvider,0,9,0,0,0,4,0,2,0,2
Entando Kubernetes Service,org.entando.kubernetes.model.namespace.provider,FileBasedNamespaceProvider,19,48,2,4,6,12,4,4,2,3
Entando Kubernetes Service,org.entando.kubernetes.model.namespace.provider,NamespaceProvider.NamespaceProviderException,0,4,0,0,0,2,0,1,0,1
Entando Kubernetes Service,org.entando.kubernetes.controller,EntandoPluginController,3,237,0,2,1,46,1,16,1,15
Entando Kubernetes Service,org.entando.kubernetes.controller,EntandoLinksController,12,268,4,6,0,44,6,16,2,15
Entando Kubernetes Service,org.entando.kubernetes.controller,ExceptionController,0,10,0,0,0,2,0,2,0,2
Entando Kubernetes Service,org.entando.kubernetes.controller,EntandoAppController,29,200,1,1,5,40,3,14,2,14
Entando Kubernetes Service,org.entando.kubernetes.controller,ApiEntryPointController,0,73,0,0,0,8,0,2,0,2
Entando Kubernetes Service,org.entando.kubernetes.controller,ObservedNamespaceController,0,122,0,2,0,17,0,6,0,5
Entando Kubernetes Service,org.entando.kubernetes.controller,EntandoDeBundleController,3,112,0,0,0,23,1,7,1,7
Entando Kubernetes Service,org.entando.kubernetes.config,KubernetesConfiguration,33,0,0,0,6,0,4,0,4,0
Entando Kubernetes Service,org.entando.kubernetes.config,OpenApiConfig,0,58,0,0,0,15,0,2,0,2
Entando Kubernetes Service,org.entando.kubernetes.config,CorsConfiguration,33,0,0,0,8,0,2,0,2,0
Entando Kubernetes Service,org.entando.kubernetes.config,SecurityConfiguration,0,115,0,0,0,38,0,2,0,2
Entando Kubernetes Service,org.entando.kubernetes.config,JwtDecoderConfiguration,35,0,0,0,8,0,2,0,2,0
Entando Kubernetes Service,org.entando.kubernetes.exception,NotFoundExceptionFactory,52,49,0,0,9,9,5,3,5,3
Entando Kubernetes Service,org.entando.kubernetes.exception,BadRequestExceptionFactory,45,35,0,0,8,7,3,3,3,3
Entando Kubernetes Service,org.entando.kubernetes.exception,NotObservedNamespaceException,0,9,0,0,0,4,0,2,0,2
