GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
entando-keycloak-auth,org.entando.entando.keycloak.interceptor,KeycloakOauth2Interceptor,16,80,5,9,2,23,5,7,0,5
entando-keycloak-auth,org.entando.entando.keycloak.services,KeycloakConfiguration,371,0,66,0,9,0,54,0,21,0
entando-keycloak-auth,org.entando.entando.keycloak.services,KeycloakJson,240,0,42,0,13,0,31,0,10,0
entando-keycloak-auth,org.entando.entando.keycloak.services,KeycloakAuthenticationProviderManager,21,23,1,1,4,8,1,5,0,5
entando-keycloak-auth,org.entando.entando.keycloak.services,KeycloakAuthorizationManager,22,213,5,9,7,44,5,10,0,8
entando-keycloak-auth,org.entando.entando.keycloak.services,KeycloakUserManager,284,0,8,0,66,0,29,0,25,0
entando-keycloak-auth,org.entando.entando.keycloak.services,KeycloakService,372,0,16,0,60,0,25,0,17,0
entando-keycloak-auth,org.entando.entando.keycloak.services,KeycloakMapper.new User() {...},11,0,0,0,5,0,2,0,2,0
entando-keycloak-auth,org.entando.entando.keycloak.services,KeycloakMapper,40,0,4,0,8,0,6,0,4,0
entando-keycloak-auth,org.entando.entando.keycloak.services.oidc.model,AuthResponse,52,0,0,0,22,0,15,0,15,0
entando-keycloak-auth,org.entando.entando.keycloak.services.oidc.model,TokenRoles,10,0,0,0,4,0,3,0,3,0
entando-keycloak-auth,org.entando.entando.keycloak.services.oidc.model,UserRepresentation,73,0,0,0,31,0,21,0,21,0
entando-keycloak-auth,org.entando.entando.keycloak.services.oidc.model,AccessToken,64,0,0,0,17,0,12,0,12,0
entando-keycloak-auth,org.entando.entando.aps.servlet.security,GuestAuthentication,21,0,0,0,10,0,8,0,8,0
entando-keycloak-auth,org.entando.entando.aps.servlet.security,KeycloakSecurityConfig,80,0,8,0,20,0,6,0,2,0
entando-keycloak-auth,org.entando.entando.aps.servlet.security,KeycloakAuthenticationFilter,83,167,6,6,21,42,9,9,3,9
entando-keycloak-auth,org.entando.entando.aps.servlet.security,UserAuthentication,13,12,0,0,5,5,5,3,5,3
entando-keycloak-auth,org.entando.entando.keycloak.adapter,AuthenticationProviderManagerAdapter,66,0,8,0,18,0,10,0,6,0
entando-keycloak-auth,org.entando.entando.keycloak.adapter,UserManagerAdapter,172,0,26,0,34,0,29,0,16,0
entando-keycloak-auth,org.entando.entando.keycloak.adapter,EntandoOauth2InterceptorAdapter,75,0,8,0,15,0,10,0,6,0
entando-keycloak-auth,org.entando.entando.keycloak.filter,KeycloakFilter,588,0,68,0,138,0,50,0,15,0
entando-keycloak-auth,org.entando.entando,KeycloakWiki,12,0,0,0,2,0,2,0,2,0
entando-keycloak-auth,org.entando.entando.keycloak.services.oidc,OpenIDConnectService,574,4,18,0,103,1,24,1,15,1
entando-keycloak-auth,org.entando.entando.keycloak.services.oidc.exception,InvalidCredentialsException,4,0,0,0,2,0,1,0,1,0
entando-keycloak-auth,org.entando.entando.keycloak.services.oidc.exception,AccountDisabledException,4,0,0,0,2,0,1,0,1,0
entando-keycloak-auth,org.entando.entando.keycloak.services.oidc.exception,OidcException,4,0,0,0,2,0,1,0,1,0
entando-keycloak-auth,org.entando.entando.keycloak.services.oidc.exception,CredentialsExpiredException,4,0,0,0,2,0,1,0,1,0
