GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Entando Plugin: CMS,org.entando.entando.plugins.jacms.apsadmin.content.bulk,ContentBulkAction,50,112,4,2,11,32,10,18,7,18
Entando Plugin: CMS,org.entando.entando.plugins.jacms.apsadmin.content.bulk,ContentCategoryBulkAction,64,219,11,11,19,65,14,29,4,28
Entando Plugin: CMS,org.entando.entando.plugins.jacms.apsadmin.content.bulk,ContentGroupBulkAction,40,191,4,8,14,58,7,30,3,28
Entando Plugin: CMS,com.agiletec.plugins.jacms.apsadmin.content.attribute.manager.util,SymbolicLinkErrorMessenger,232,0,41,0,59,0,32,0,10,0
Entando Plugin: CMS,com.agiletec.plugins.jacms.aps.system.services.resource.parse,ImageDimensionDOM,12,131,5,7,3,37,5,5,0,4
Entando Plugin: CMS,com.agiletec.plugins.jacms.aps.system.services.resource.parse,ResourceDOM,22,185,3,5,7,42,4,14,1,13
Entando Plugin: CMS,com.agiletec.plugins.jacms.aps.system.services.resource.parse,ResourceHandler,35,345,10,42,8,91,13,33,3,17
Entando Plugin: CMS,com.agiletec.plugins.jacms.aps.system.services.renderer,BaseContentRenderer,12,137,2,6,4,36,2,10,0,8
Entando Plugin: CMS,com.agiletec.plugins.jacms.aps.system.services.renderer,ContentWrapper,142,26,14,0,34,9,18,5,11,5
Entando Plugin: CMS,com.agiletec.plugins.jacms.aps.system.services.renderer,SystemInfoWrapper,140,14,6,0,42,6,11,3,8,3
Entando Plugin: CMS,org.entando.entando.plugins.jacms.apsadmin.content.executor,PreviewWidgetExecutorAspect,137,10,26,0,29,3,14,2,1,2
Entando Plugin: CMS,org.entando.entando.plugins.jacms.aps.system.services.resource,ResourcesService,374,1326,30,110,86,302,46,86,19,40
Entando Plugin: CMS,org.entando.entando.plugins.jacms.web.contentmodel.validator,ContentModelReferencesValidator,5,5,0,0,2,2,2,2,2,2
Entando Plugin: CMS,org.entando.entando.plugins.jacms.web.contentmodel.validator,ContentModelUsageDetailsValidator,5,5,0,0,2,2,2,2,2,2
Entando Plugin: CMS,org.entando.entando.plugins.jacms.web.contentmodel.validator,ContentModelValidator,22,50,3,11,3,10,5,8,2,4
Entando Plugin: CMS,com.agiletec.plugins.jacms.apsadmin.tags,ContentInfoTag,217,0,12,0,48,0,19,0,13,0
Entando Plugin: CMS,com.agiletec.plugins.jacms.apsadmin.tags,ContentTypeInfoTag,67,0,4,0,14,0,6,0,4,0
Entando Plugin: CMS,com.agiletec.plugins.jacms.apsadmin.tags,ResourceInfoTag,44,0,0,0,10,0,4,0,4,0
Entando Plugin: CMS,org.entando.entando.plugins.jacms.web.resource.model,FileAssetDto,124,30,24,0,2,7,18,4,6,4
Entando Plugin: CMS,org.entando.entando.plugins.jacms.web.resource.model,ImageAssetDto,129,34,24,0,2,8,18,5,6,5
Entando Plugin: CMS,org.entando.entando.plugins.jacms.web.resource.model,ImageMetadataDto.ImageMetadataDtoBuilder,22,28,0,0,0,1,1,5,1,5
Entando Plugin: CMS,org.entando.entando.plugins.jacms.web.resource.model,AssetDto,476,73,94,0,1,13,62,13,15,13
Entando Plugin: CMS,org.entando.entando.plugins.jacms.web.resource.model,ListAssetsFolderResponse,157,24,30,0,1,5,20,7,5,7
Entando Plugin: CMS,org.entando.entando.plugins.jacms.web.resource.model,ImageAssetDto.ImageAssetDtoBuilder,128,148,13,9,0,1,14,17,5,14
Entando Plugin: CMS,org.entando.entando.plugins.jacms.web.resource.model,FileAssetDto.FileAssetDtoBuilder,92,125,6,5,0,1,7,16,3,14
Entando Plugin: CMS,org.entando.entando.plugins.jacms.web.resource.model,ImageMetadataDto,157,25,30,0,1,4,22,5,7,5
Entando Plugin: CMS,com.agiletec.plugins.jacms.aps.system.services.content.model,Content,12,260,3,5,4,81,4,34,1,33
Entando Plugin: CMS,com.agiletec.plugins.jacms.aps.system.services.content.model,SmallContentType,7,3,0,0,3,1,2,1,2,1
Entando Plugin: CMS,com.agiletec.plugins.jacms.aps.system.services.content.model,ContentRecordVO,4,104,0,0,2,44,1,30,1,30
Entando Plugin: CMS,com.agiletec.plugins.jacms.aps.system.services.content.model,SymbolicLink,25,261,8,24,2,73,9,24,1,14
Entando Plugin: CMS,com.agiletec.plugins.jacms.aps.system.services.content.model,ContentCategoryReferenceDto,56,0,2,0,21,0,11,0,10,0
Entando Plugin: CMS,com.agiletec.plugins.jacms.aps.system.services.content.model,CmsAttributeReference,0,21,0,0,0,8,0,4,0,4
Entando Plugin: CMS,com.agiletec.plugins.jacms.aps.system.services.content.model,ContentDto,14,409,1,27,2,124,2,51,1,36
Entando Plugin: CMS,com.agiletec.plugins.jacms.aps.servlet,ResourceWardenServlet,3,0,0,0,1,0,1,0,1,0
Entando Plugin: CMS,org.entando.entando.plugins.jacms.aps.system.init.portdb,ContentAttributeRole,13,31,1,1,2,6,1,2,0,2
Entando Plugin: CMS,org.entando.entando.plugins.jacms.aps.system.init.portdb,WorkContentRelation,22,35,1,1,2,6,1,2,0,2
Entando Plugin: CMS,org.entando.entando.plugins.jacms.aps.system.init.portdb,ContentRelation,46,125,1,1,5,9,1,2,0,2
Entando Plugin: CMS,org.entando.entando.plugins.jacms.aps.system.init.portdb,Content,0,3,0,0,0,1,0,1,0,1
Entando Plugin: CMS,org.entando.entando.plugins.jacms.aps.system.init.portdb,Resource,0,3,0,0,0,1,0,1,0,1
Entando Plugin: CMS,org.entando.entando.plugins.jacms.aps.system.init.portdb,ResourceRelation,33,58,1,1,3,7,1,2,0,2
Entando Plugin: CMS,org.entando.entando.plugins.jacms.aps.system.init.portdb,ContentModel,0,3,0,0,0,1,0,1,0,1
Entando Plugin: CMS,org.entando.entando.plugins.jacms.aps.system.init.portdb,ContentSearch,22,35,1,1,2,6,1,2,0,2
Entando Plugin: CMS,org.entando.entando.plugins.jacms.aps.system.init.portdb,WorkContentSearch,13,35,1,1,2,6,1,2,0,2
Entando Plugin: CMS,org.entando.entando.plugins.jacms.aps.system.init.portdb,WorkContentAttributeRole,13,31,1,1,2,6,1,2,0,2
Entando Plugin: CMS,org.entando.entando.plugins.jacms.web.resource,ResourcesController,17,361,5,25,0,66,5,20,0,10
Entando Plugin: CMS,org.entando.entando.plugins.jacms.web.resource.request,UpdateResourceRequest,0,24,0,0,0,10,0,7,0,7
Entando Plugin: CMS,org.entando.entando.plugins.jacms.web.resource.request,ListResourceRequest,70,24,14,0,11,10,9,7,2,7
Entando Plugin: CMS,org.entando.entando.plugins.jacms.web.resource.request,CreateResourceRequest,0,38,0,0,0,16,0,11,0,11
Entando Plugin: CMS,com.agiletec.plugins.jacms.apsadmin.content.attribute.manager,ResourceAttributeManager,24,111,5,9,5,25,6,7,1,5
Entando Plugin: CMS,com.agiletec.plugins.jacms.apsadmin.content.attribute.manager,HypertextAttributeManager,62,3,12,0,16,1,7,1,1,1
Entando Plugin: CMS,com.agiletec.plugins.jacms.apsadmin.content.attribute.manager,LinkAttributeManager,19,37,6,6,6,11,7,2,1,2
Entando Plugin: CMS,com.agiletec.plugins.jacms.apsadmin.content.attribute.action.link,LinkAttributeAction,157,147,13,3,53,53,21,25,12,23
Entando Plugin: CMS,com.agiletec.plugins.jacms.apsadmin.content.attribute.action.link,UrlLinkAction,101,94,9,3,24,27,14,13,8,13
Entando Plugin: CMS,com.agiletec.plugins.jacms.apsadmin.content.attribute.action.link,PageLinkAction,111,186,10,10,30,50,16,22,8,20
Entando Plugin: CMS,com.agiletec.plugins.jacms.apsadmin.content.attribute.action.link,ContentLinkAction,115,199,9,11,30,55,13,24,6,21
Entando Plugin: CMS,org.entando.entando.plugins.jacms.aps.system.services.contentsettings,ContentSettingsService,546,8,26,0,147,2,46,1,33,1
Entando Plugin: CMS,com.agiletec.plugins.jacms.aps.system.services.resource.cache,ResourceManagerCacheWrapper,11,46,0,0,3,14,2,7,2,7
Entando Plugin: CMS,org.entando.entando.plugins.jacms.aps.system.services.widgettype.validators,ContentViewerWidgetValidator,15,86,1,1,3,23,1,8,0,8
Entando Plugin: CMS,org.entando.entando.plugins.jacms.aps.system.services.widgettype.validators,RowContentListConfigurationEntry,82,21,2,0,9,10,5,6,4,6
Entando Plugin: CMS,org.entando.entando.plugins.jacms.aps.system.services.widgettype.validators,ContentListViewerWidgetValidator,46,145,12,8,9,38,9,13,0,12
Entando Plugin: CMS,org.entando.entando.plugins.jacms.aps.system.services.widgettype.validators,WidgetValidatorCmsHelper,87,290,14,32,11,58,15,18,1,9
Entando Plugin: CMS,org.entando.entando.plugins.jacms.aps.system.services.widgettype.validators,AbstractListViewerWidgetValidator,46,27,0,0,9,9,1,6,1,6
Entando Plugin: CMS,org.entando.entando.plugins.jacms.aps.system.services.widgettype.validators,RowContentListViewerWidgetValidator,46,189,7,11,7,43,7,13,0,11
Entando Plugin: CMS,org.entando.entando.plugins.jacms.aps.system.services.widgettype.validators,RowContentListViewerConfigProcessor,0,43,0,0,0,12,0,4,0,4
Entando Plugin: CMS,com.agiletec.plugins.jacms.aps.system.services.content.helper,PublicContentAuthorizationInfo,52,203,10,24,13,52,13,14,5,5
Entando Plugin: CMS,com.agiletec.plugins.jacms.aps.system.services.content.helper,ContentAuthorizationHelper,94,142,13,13,27,37,14,17,4,14
Entando Plugin: CMS,com.agiletec.plugins.jacms.aps.system.services.content.helper,BaseContentListHelper,138,285,29,29,33,65,27,21,5,14
