GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Entando Plugin: Content Scheduler,org.entando.entando.plugins.jpcontentscheduler.aps.system.services.content.model,ContentThreadConfig,58,157,0,0,20,67,19,30,19,30
Entando Plugin: Content Scheduler,org.entando.entando.plugins.jpcontentscheduler.aps.system.services.content.model,ContentState,59,0,0,0,23,0,12,0,12,0
Entando Plugin: Content Scheduler,org.entando.entando.plugins.jpcontentscheduler.aps.system.services.content.model,ContentTypeElem,31,45,0,0,16,16,8,8,8,8
Entando Plugin: Content Scheduler,org.entando.entando.plugins.jpcontentscheduler.aps.system.services.content.model,ContentSuspendMove,52,38,0,0,23,15,15,5,15,5
Entando Plugin: Content Scheduler,org.entando.entando.plugins.jpcontentscheduler.aps.system.services,ContentThreadConstants,3,0,0,0,1,0,1,0,1,0
Entando Plugin: Content Scheduler,org.entando.entando.plugins.jpcontentscheduler.aps.system.services.content.util,Utils,468,9,48,0,95,2,35,1,11,1
Entando Plugin: Content Scheduler,org.entando.entando.plugins.jpcontentscheduler.aps.system.services.content,ContentJobs,1634,150,203,7,372,47,113,12,9,11
Entando Plugin: Content Scheduler,org.entando.entando.plugins.jpcontentscheduler.aps.system.services.content,ContentSchedulerDAO,84,7,0,0,22,2,2,2,2,2
Entando Plugin: Content Scheduler,org.entando.entando.plugins.jpcontentscheduler.aps.system.services.content,ContentSchedulerManager,467,333,50,16,105,87,40,22,10,19
Entando Plugin: Content Scheduler,org.entando.entando.plugins.jpcontentscheduler.apsadmin.config,ContentThreadConfigGroupsAction,312,0,30,0,97,0,40,0,25,0
Entando Plugin: Content Scheduler,org.entando.entando.plugins.jpcontentscheduler.apsadmin.config,ContentThreadConfigUsersAction,485,0,50,0,140,0,54,0,29,0
Entando Plugin: Content Scheduler,org.entando.entando.plugins.jpcontentscheduler.apsadmin.config,ConfigAction,265,0,0,0,94,0,25,0,25,0
Entando Plugin: Content Scheduler,org.entando.entando.plugins.jpcontentscheduler.apsadmin.config,ContentThreadConfigEmailAction,305,0,0,0,105,0,42,0,42,0
Entando Plugin: Content Scheduler,org.entando.entando.plugins.jpcontentscheduler.apsadmin.config,ContentThreadConfigContentTypesAction,471,0,38,0,145,0,54,0,35,0
Entando Plugin: Content Scheduler,org.entando.entando.plugins.jpcontentscheduler.apsadmin.config,AdminAction,73,0,0,0,24,0,3,0,3,0
Entando Plugin: Content Scheduler,org.entando.entando.plugins.jpcontentscheduler.aps.system.services.content.parse,ContentThreadConfigDOM,633,392,31,21,135,107,32,15,10,11
