GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Entando Plugin: Content Versioning,com.agiletec.plugins.jpversioning.apsadmin.resource,TrashedResourceAction,152,102,11,3,49,29,17,12,11,11
Entando Plugin: Content Versioning,org.entando.entando.plugins.jpversioning.web.content.model,ContentVersionDTO,205,73,26,0,16,31,16,21,3,21
Entando Plugin: Content Versioning,org.entando.entando.plugins.jpversioning.services.content,ContentVersioningService,316,343,29,13,61,82,18,19,1,15
Entando Plugin: Content Versioning,com.agiletec.plugins.jpversioning.apsadmin.content,ContentVersionsAction,105,0,2,0,28,0,10,0,9,0
Entando Plugin: Content Versioning,org.entando.entando.plugins.jpversioning.web.resource,ResourceVersioningController,0,112,0,0,0,20,0,5,0,5
Entando Plugin: Content Versioning,org.entando.entando.plugins.jpversioning.services.configuration,VersioningConfigurationService,3,126,0,6,2,35,0,8,0,5
Entando Plugin: Content Versioning,org.entando.entando.plugins.jpversioning.web.configuration.model,VersioningConfigurationDTO,80,24,12,0,10,10,9,7,3,7
Entando Plugin: Content Versioning,com.agiletec.plugins.jpversioning.apsadmin.versioning,VersionAction,565,256,41,9,118,86,37,26,13,25
Entando Plugin: Content Versioning,com.agiletec.plugins.jpversioning.apsadmin.versioning,VersionFinderAction,73,55,0,0,19,21,9,11,9,11
Entando Plugin: Content Versioning,org.entando.entando.plugins.jpversioning.web.resource.model,FileResourceDTO,12,25,0,0,5,6,3,3,3,3
Entando Plugin: Content Versioning,org.entando.entando.plugins.jpversioning.web.resource.model,FileResourceDTO.FileResourceDTOBuilder,146,0,0,0,1,0,14,0,14,0
Entando Plugin: Content Versioning,org.entando.entando.plugins.jpversioning.web.resource.model,ImageResourceDTO,4,19,0,0,2,4,1,2,1,2
Entando Plugin: Content Versioning,org.entando.entando.plugins.jpversioning.web.resource.model,ImageVersionDTO,12,21,0,0,6,8,3,4,3,4
Entando Plugin: Content Versioning,org.entando.entando.plugins.jpversioning.web.resource.model,ResourceDownloadDTO,12,21,0,0,6,8,3,4,3,4
Entando Plugin: Content Versioning,org.entando.entando.plugins.jpversioning.web.resource.model,ResourceDTO,246,63,26,0,37,22,26,11,13,11
Entando Plugin: Content Versioning,org.entando.entando.plugins.jpversioning.web.configuration,VersioningConfigurationController,0,37,0,0,0,8,0,3,0,3
Entando Plugin: Content Versioning,org.entando.entando.plugins.jpversioning.web.content,ContentVersioningController,17,163,1,5,1,27,1,8,0,6
Entando Plugin: Content Versioning,org.entando.entando.plugins.jpversioning.services.resource,ResourcesVersioningService,149,467,9,27,25,92,9,26,0,17
Entando Plugin: Content Versioning,org.entando.entando.plugins.jpversioning.web.content.validator,ContentVersioningValidator,74,32,12,4,19,9,11,5,4,4
Entando Plugin: Content Versioning,org.entando.entando.plugins.jpversioning.web.content.validator,VersioningValidatorErrorCodes,0,45,0,0,0,7,0,2,0,2
Entando Plugin: Content Versioning,com.agiletec.plugins.jpversioning.aps.system.services.versioning,IVersioningManager,0,16,0,0,0,1,0,1,0,1
Entando Plugin: Content Versioning,com.agiletec.plugins.jpversioning.aps.system.services.versioning,VersioningManager,148,356,4,26,35,101,4,43,0,32
Entando Plugin: Content Versioning,com.agiletec.plugins.jpversioning.aps.system.services.versioning,ContentVersion,0,80,0,0,0,34,0,23,0,23
Entando Plugin: Content Versioning,com.agiletec.plugins.jpversioning.aps.system.services.versioning,VersioningDAO,130,538,4,30,38,144,5,24,1,11
Entando Plugin: Content Versioning,org.entando.entando.plugins.jpversioning.aps.system.init.portdb,TrashedResource,0,3,0,0,0,1,0,1,0,1
Entando Plugin: Content Versioning,org.entando.entando.plugins.jpversioning.aps.system.init.portdb,VersionedContent,0,10,0,0,0,3,0,2,0,2
Entando Plugin: Content Versioning,com.agiletec.plugins.jpversioning.aps.system.services.resource,TrashedResourceManager,118,544,5,31,30,141,4,41,0,27
Entando Plugin: Content Versioning,com.agiletec.plugins.jpversioning.aps.system.services.resource,TrashedResourceDAO,72,362,3,33,19,104,3,24,0,9
Entando Plugin: Content Versioning,com.agiletec.plugins.jpversioning.apsadmin.config,VersioningConfigAction,7,0,0,0,2,0,2,0,2,0
Entando Plugin: Content Versioning,com.agiletec.plugins.jpversioning.aps.servlet,VersioningProtectedResourceProvider,252,19,28,0,61,8,21,5,7,5
