GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Entando Core: Portal UI,com.agiletec.aps.system.services.controller,ControllerManager,25,58,10,6,12,15,10,8,1,6
Entando Core: Portal UI,org.entando.entando.aps.system.services.controller.preview.control,PreviewRequestAuthorizator,118,26,18,0,35,10,14,6,5,6
Entando Core: Portal UI,org.entando.entando.aps.system.services.controller.preview.control,PreviewRequestValidator,173,26,16,0,49,9,15,5,7,5
Entando Core: Portal UI,org.entando.entando.aps.system.services.controller.preview.control,PreviewErrorManager,18,18,4,0,5,6,5,4,3,4
Entando Core: Portal UI,org.entando.entando.aps.system.services.controller.executor,WidgetExecutorService,55,8,2,0,16,3,2,3,1,3
Entando Core: Portal UI,org.entando.entando.aps.system.services.controller.executor,BufferedHttpResponseWrapper,35,0,0,0,10,0,3,0,3,0
Entando Core: Portal UI,org.entando.entando.aps.system.services.controller.executor,PageExecutorService,110,8,4,0,29,3,3,3,1,3
Entando Core: Portal UI,org.entando.entando.aps.system.services.controller.executor,ContentNegotiationExecutorService,117,8,18,0,29,3,11,3,2,3
Entando Core: Portal UI,org.entando.entando.aps.system.services.controller.executor,AbstractWidgetExecutorService,623,7,56,0,132,2,38,2,10,2
Entando Core: Portal UI,org.entando.entando.aps.servlet,PreviewControllerServlet,116,0,10,0,30,0,9,0,4,0
Entando Core: Portal UI,org.entando.entando.aps.servlet,XSSFilter,14,0,0,0,5,0,4,0,4,0
Entando Core: Portal UI,org.entando.entando.aps.servlet,XSSRequestWrapper,188,0,8,0,35,0,11,0,7,0
Entando Core: Portal UI,org.entando.entando.aps.servlet,ControllerServlet,381,0,28,0,95,0,26,0,12,0
Entando Core: Portal UI,com.agiletec.aps.system.services.controller.control,ErrorManager,10,72,1,3,4,21,1,8,0,7
Entando Core: Portal UI,com.agiletec.aps.system.services.controller.control,RequestAuthorizator,12,123,4,6,2,35,3,11,0,9
Entando Core: Portal UI,com.agiletec.aps.system.services.controller.control,Authenticator,58,99,11,9,13,30,10,8,1,7
Entando Core: Portal UI,com.agiletec.aps.system.services.controller.control,RequestValidator,117,201,14,14,27,58,10,20,2,14
Entando Core: Portal UI,com.agiletec.aps.system.services.controller.control,AbstractControlService,22,112,2,8,8,34,2,11,0,8
